category,object_name,check_name,hash_value
--- SHARED / OWNERSHIP UNRESOLVED / PROTECTED TABLES ---,,,
TABLE,admin_profiles,Columns Hash,07ccaa21d655b0707ba01bc67ca99ae8
TABLE,admin_profiles,Constraints Hash,48403532615dc14d5fb3aa01ec1f067f
TABLE,admin_profiles,RLS Enabled,true
TABLE,admin_profiles,Policies Hash,223fcf77478f811a73a7025de4d43e58
TABLE,admin_profiles,Table Grants Hash,2b9c091ca1e833bc17c2e2779303b708
TABLE,admin_profiles,Sequence Grants Hash,none
TABLE,admin_profiles,Triggers Hash,b4bba280d33d827d05c0f21974a1afae
TABLE,appointments,Columns Hash,f121e2ffb16dd65a2eedb211139f7733
TABLE,appointments,Constraints Hash,b26c9fb06338b0ba88b016eb3198f519
TABLE,appointments,RLS Enabled,true
TABLE,appointments,Policies Hash,73a20129427d9d0b0a103bbf703bd571
TABLE,appointments,Table Grants Hash,2b9c091ca1e833bc17c2e2779303b708
TABLE,appointments,Sequence Grants Hash,none
TABLE,appointments,Triggers Hash,none
TABLE,chat_messages,Columns Hash,3d4de540145620b8c85ecfca43affed9
TABLE,chat_messages,Constraints Hash,27e2009ed9253a127ce6d1571936da1a
TABLE,chat_messages,RLS Enabled,true
TABLE,chat_messages,Policies Hash,82ff11a29db9a28af9e727d54f4e89e9
TABLE,chat_messages,Table Grants Hash,e7ea4b95a9fca347aaa3d122579a4123
TABLE,chat_messages,Sequence Grants Hash,none
TABLE,chat_messages,Triggers Hash,a934edc645a50d368518d2c3f0d548dc
TABLE,chat_sessions,Columns Hash,e108eca991c14225ef3e873e635eae81
TABLE,chat_sessions,Constraints Hash,e620b8cde63f024302e4dbb1426415ee
TABLE,chat_sessions,RLS Enabled,true
TABLE,chat_sessions,Policies Hash,cb70bbcd5faef1dd6e53bfedc35c7ce6
TABLE,chat_sessions,Table Grants Hash,e7ea4b95a9fca347aaa3d122579a4123
TABLE,chat_sessions,Sequence Grants Hash,none
TABLE,chat_sessions,Triggers Hash,d7c1f05949cb5d739c1b0bc3425fd1f0
TABLE,key_log,Columns Hash,e0cbdf3d3e65a68d428edb67148bc067
TABLE,key_log,Constraints Hash,baf8a9c28cc3b837069c8ea6d8ae785f
TABLE,key_log,RLS Enabled,true
TABLE,key_log,Policies Hash,fe3800410ca3dd1db09525b316894d31
TABLE,key_log,Table Grants Hash,2b9c091ca1e833bc17c2e2779303b708
TABLE,key_log,Sequence Grants Hash,none
TABLE,key_log,Triggers Hash,none
TABLE,key_status,Columns Hash,0f02e847d5b329d75da3d15ad8ce9569
TABLE,key_status,Constraints Hash,36c4fc5324ef0a15813be225d4a7ff6f
TABLE,key_status,RLS Enabled,true
TABLE,key_status,Policies Hash,eed8054cc9f923271df6294691de6238
TABLE,key_status,Table Grants Hash,2b9c091ca1e833bc17c2e2779303b708
TABLE,key_status,Sequence Grants Hash,none
TABLE,key_status,Triggers Hash,none
TABLE,notifications,Columns Hash,68ee87a0ba1af293c7180124b432532f
TABLE,notifications,Constraints Hash,dd617d62b08225649b5fc78dcdac3cc7
