category,object_name,check_name,status,metric_value,hash_value
prerequisite,auth.users,null,READY,null,null
prerequisite,public.competitions,null,READY,null,null
prerequisite,public.get_leaderboard_reference_members(),null,READY,null,null
prerequisite,public.leaderboard_update_updated_at(),null,READY,null,null
prerequisite,public.member_release_links,null,READY,null,null
prerequisite,public.members,null,READY,null,null
prerequisite,public.participation_logs,null,READY,null,null
prerequisite,public.profiles,null,READY,null,null
prerequisite,public.rapor_access_codes,null,READY,null,null
prerequisite,public.rapor_members,null,READY,null,null
prerequisite,public.rapor_releases,null,READY,null,null
prerequisite,public.users,null,READY,null,null
preflight_gate,prerequisites,missing_count,READY,0,null
stage4_table_collision,public.arsc_identities,null,NONE,0,null
preflight_gate,stage4_functions,collision_count,NONE,0,null
preflight_gate,stage4_triggers,collision_count,NONE,0,null
identity_alignment_count,shared_identity,auth_users,null,47,null
identity_alignment_count,shared_identity,auth_with_both_profiles,null,0,null
identity_alignment_count,shared_identity,auth_with_halo_profile,null,35,null
identity_alignment_count,shared_identity,auth_with_leaderboard_profile,null,0,null
identity_alignment_count,shared_identity,halo_email_mismatch,null,0,null
identity_alignment_count,shared_identity,halo_profiles,null,35,null
identity_alignment_count,shared_identity,leaderboard_profiles,null,0,null
protected_table_fingerprint,competitions,columns,null,null,6ee9437a98c08f85529fe19edef98ae2
protected_table_fingerprint,competitions,constraints,null,null,ebdcaa8f4a1dd759209c1e96a0685b38
protected_table_fingerprint,competitions,grants,null,null,31ef710db7f571f766f2af47bc83c5cc
protected_table_fingerprint,competitions,policies,null,null,4c1208902f47a75036d2fe5d327c65f6
protected_table_fingerprint,competitions,rls,null,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,competitions,triggers,null,null,960774206cac2ad47be09d4109bd4519
protected_table_fingerprint,member_release_links,columns,null,null,5f3614948987a240f1cfddb623ab9192
protected_table_fingerprint,member_release_links,constraints,null,null,96c067f38b249315bf8291d2b65bf1d3
protected_table_fingerprint,member_release_links,grants,null,null,e6bfca7708866501c65802c3764a93c5
protected_table_fingerprint,member_release_links,policies,null,null,1435414e197fa75b91625029a30e4a05
protected_table_fingerprint,member_release_links,rls,null,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,member_release_links,triggers,null,null,d41d8cd98f00b204e9800998ecf8427e
protected_table_fingerprint,members,columns,null,null,1582e9f1c33c3a9a3a34b4007dd25313
protected_table_fingerprint,members,constraints,null,null,a48c13bbaf8a8a6f3234427e39e5a2c3
protected_table_fingerprint,members,grants,null,null,e6bfca7708866501c65802c3764a93c5
protected_table_fingerprint,members,policies,null,null,4d6cdea0f7824989449336642cca36f3
protected_table_fingerprint,members,rls,null,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,members,triggers,null,null,d41d8cd98f00b204e9800998ecf8427e
protected_table_fingerprint,participation_logs,columns,null,null,27598ab621708d436a6e91374c2907c6
protected_table_fingerprint,participation_logs,constraints,null,null,a1b649be6fa70345b74d95f32ca23483
protected_table_fingerprint,participation_logs,grants,null,null,03eeb02ed33ce32038e0cfad9c7417a4
protected_table_fingerprint,participation_logs,policies,null,null,667c38a320830a4843ebf658ff478867
protected_table_fingerprint,participation_logs,rls,null,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,participation_logs,triggers,null,null,87a0dfb3eed83008b4d314dd03d5f1bc
protected_table_fingerprint,profiles,columns,null,null,1c1d32044b859adef659fbdafa627cac
protected_table_fingerprint,profiles,constraints,null,null,0d34989d289328df74ebc7262bfbdcf1
protected_table_fingerprint,profiles,grants,null,null,5750f100ff3973de5c75d2fb896f1ce7
protected_table_fingerprint,profiles,policies,null,null,c344f867fa86ff67bb3c9e1e092ab4cb
protected_table_fingerprint,profiles,rls,null,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,profiles,triggers,null,null,5e3842aed22b70795d120826a6e5e72b
protected_table_fingerprint,rapor_access_codes,columns,null,null,edbf4f050115b9d1c690f4ab68a1b5d3
protected_table_fingerprint,rapor_access_codes,constraints,null,null,86ff1781072089c4a02fd66e30a0786c
