category,object_name,check_name,status,metric_value,hash_value
stage4_table,public.arsc_identities,exists,PASS,null,null
stage4_table,public.arsc_identities,rls_enabled,PASS,null,null
stage4_table,public.arsc_identities,columns,OBSERVED,null,1d091a5412ae9f09f52ad39a70f7568b
protected_table_fingerprint,competitions,columns,OBSERVED,null,6ee9437a98c08f85529fe19edef98ae2
protected_table_fingerprint,competitions,constraints,OBSERVED,null,ebdcaa8f4a1dd759209c1e96a0685b38
protected_table_fingerprint,competitions,grants,OBSERVED,null,31ef710db7f571f766f2af47bc83c5cc
protected_table_fingerprint,competitions,policies,OBSERVED,null,4c1208902f47a75036d2fe5d327c65f6
protected_table_fingerprint,competitions,rls,OBSERVED,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,competitions,triggers,OBSERVED,null,960774206cac2ad47be09d4109bd4519
protected_table_fingerprint,member_release_links,columns,OBSERVED,null,5f3614948987a240f1cfddb623ab9192
protected_table_fingerprint,member_release_links,constraints,OBSERVED,null,96c067f38b249315bf8291d2b65bf1d3
protected_table_fingerprint,member_release_links,grants,OBSERVED,null,e6bfca7708866501c65802c3764a93c5
protected_table_fingerprint,member_release_links,policies,OBSERVED,null,1435414e197fa75b91625029a30e4a05
protected_table_fingerprint,member_release_links,rls,OBSERVED,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,member_release_links,triggers,OBSERVED,null,d41d8cd98f00b204e9800998ecf8427e
protected_table_fingerprint,members,columns,OBSERVED,null,1582e9f1c33c3a9a3a34b4007dd25313
protected_table_fingerprint,members,constraints,OBSERVED,null,a48c13bbaf8a8a6f3234427e39e5a2c3
protected_table_fingerprint,members,grants,OBSERVED,null,e6bfca7708866501c65802c3764a93c5
protected_table_fingerprint,members,policies,OBSERVED,null,4d6cdea0f7824989449336642cca36f3
protected_table_fingerprint,members,rls,OBSERVED,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,members,triggers,OBSERVED,null,d41d8cd98f00b204e9800998ecf8427e
protected_table_fingerprint,participation_logs,columns,OBSERVED,null,27598ab621708d436a6e91374c2907c6
protected_table_fingerprint,participation_logs,constraints,OBSERVED,null,a1b649be6fa70345b74d95f32ca23483
protected_table_fingerprint,participation_logs,grants,OBSERVED,null,03eeb02ed33ce32038e0cfad9c7417a4
protected_table_fingerprint,participation_logs,policies,OBSERVED,null,667c38a320830a4843ebf658ff478867
protected_table_fingerprint,participation_logs,rls,OBSERVED,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,participation_logs,triggers,OBSERVED,null,87a0dfb3eed83008b4d314dd03d5f1bc
protected_table_fingerprint,profiles,columns,OBSERVED,null,1c1d32044b859adef659fbdafa627cac
protected_table_fingerprint,profiles,constraints,OBSERVED,null,0d34989d289328df74ebc7262bfbdcf1
protected_table_fingerprint,profiles,grants,OBSERVED,null,5750f100ff3973de5c75d2fb896f1ce7
protected_table_fingerprint,profiles,policies,OBSERVED,null,c344f867fa86ff67bb3c9e1e092ab4cb
protected_table_fingerprint,profiles,rls,OBSERVED,null,3617b696275a8a3e60781b01842a24dd
protected_table_fingerprint,profiles,triggers,OBSERVED,null,d57c3974f3f807117ff8964457badc1b
protected_table_fingerprint,rapor_access_codes,columns,OBSERVED,null,edbf4f050115b9d1c690f4ab68a1b5d3
protected_table_fingerprint,rapor_access_codes,constraints,OBSERVED,null,86ff1781072089c4a02fd66e30a0786c
protected_table_fingerprint,rapor_access_codes,grants,OBSERVED,null,31ef710db7f571f766f2af47bc83c5cc
protected_table_fingerprint,rapor_access_codes,policies,OBSERVED,null,79c9d5a81454d08595417387cd2fe98e
protected_table_fingerprint,rapor_access_codes,rls,OBSERVED,null,3617b696275a8a3e60781b01842a24dd
