category,object_name,check_name,status,metric_value,hash_value
privilege_check,leaderboard_competition_proposals,authenticated_direct_writes_blocked,PASS,1,null
privilege_check,leaderboard_competition_tracks,authenticated_direct_writes_blocked,PASS,1,null
protected_auth_trigger_fingerprint,trg_handle_auth_user_email_update,complete_definition,OBSERVED,null,c8767234a0be3f65a79d988a3f3675b7
protected_auth_trigger_fingerprint,trg_handle_new_auth_user,complete_definition,OBSERVED,null,10343a982b27e2f76c371ab1302ba6f9
protected_function_fingerprint,get_leaderboard_reference_members(),definition_and_security,OBSERVED,null,cf641b15acfc37252490341e9a1e5b68
protected_function_fingerprint,get_my_arsc_identity(),definition_and_security,OBSERVED,null,c66c8d884edf4b40b449668af7ae31e7
protected_function_fingerprint,"link_arsc_account_from_reference(p_user_id uuid, p_release_member_code text, p_release_code text, p_canonical_name text, p_unit text, p_position text)",definition_and_security,OBSERVED,null,c00a5293406f57faff74b26cee4e9190
protected_function_fingerprint,protect_verified_arsc_identity_fields(),definition_and_security,OBSERVED,null,6f3fb73cb6eb3c2587b1a943cc8f2900
protected_function_fingerprint,protect_verified_leaderboard_identity_fields(),definition_and_security,OBSERVED,null,25991a050c97d9130e87a84ef85cb7bb
protected_function_fingerprint,"set_shared_profile_avatar(p_user_id uuid, p_avatar_url text)",definition_and_security,OBSERVED,null,45fb5a74baeb6c02ec62fed3cc9d3780
protected_function_fingerprint,sync_halo_avatar_to_leaderboard(),definition_and_security,OBSERVED,null,7e442c2f1824846c6dc775fb2ad8412d
protected_table_fingerprint,arsc_identities,complete_structure,OBSERVED,null,b8b13491caa4943ae3e5a517e2326fc8
protected_table_fingerprint,member_release_links,complete_structure,OBSERVED,null,95cff8a2f689dbade9c8b22ac4e3858f
protected_table_fingerprint,members,complete_structure,OBSERVED,null,98f9c94bb78d695f6e3cfe2d6b0b5e4d
protected_table_fingerprint,profiles,complete_structure,OBSERVED,null,81ac99cc14049e9de22bfa840624d746
protected_table_fingerprint,rapor_access_codes,complete_structure,OBSERVED,null,5c51a37b5ba693be452b1cd7c3d1bbed
protected_table_fingerprint,rapor_members,complete_structure,OBSERVED,null,4f31e591ed8d7bb255fa17863dbfb2cf
protected_table_fingerprint,rapor_releases,complete_structure,OBSERVED,null,bff2c9ca4ff4fea4d17a34a8b1e24545
protected_table_fingerprint,users,complete_structure,OBSERVED,null,dc651098eaa64ac900f40a35e8ef1803
stage6_column,participation_logs,competition_track_id_type,PASS,1,null
stage6_column,participation_submission_events,competition_track_id_type,PASS,1,null
stage6_column,participation_submission_events,competition_track_name_type,PASS,1,null
stage6_constraint,participation_logs,profile_competition_track_unique,PASS,1,null
stage6_data_gate,competitions,competitions_without_active_tracks,PASS,0,null
stage6_function,get_public_member_participations_v3,exact_signature_exists,PASS,1,null
stage6_function,leaderboard_save_competition_v2,exact_signature_exists,PASS,1,null
stage6_function,review_competition_proposal,exact_signature_exists,PASS,1,null
stage6_function,submit_competition_proposal,exact_signature_exists,PASS,1,null
stage6_function,submit_participation_v3,exact_signature_exists,PASS,1,null
stage6_seed,internal-arsc,required_stage_count,PASS,5,null
stage6_seed,leaderboard_scoring_template_rules,system_rule_count,PASS,61,null
stage6_seed,leaderboard_scoring_templates,system_template_count,PASS,7,null
stage6_table,public.leaderboard_competition_proposals,exists,PASS,1,null
stage6_table,public.leaderboard_competition_tracks,exists,PASS,1,null
verification_gate,stage6_structure_and_privileges,failure_count,PASS,0,null
